,text,neg,neu,pos,compound,comp_score
0,"The earth is getting hotter if you always follow the news broadcasting the world, you have to squeeze it out every day, there are only forest fires the natural way yesterday reported in the US today in China and this is because of one reason, namely the heat of the past https t co atnskdoo3a",0.0,0.955,0.045,0.9988,pos
1,"santorinissun climate anomaly, the impact is not good for all nations in the world, crop failure, forest fires, etc., anomaly in the human brain, the impact is not inferior, ethics, culture, law, not caring",0.205,0.739,0.056,-0.7249,neg
2,"bhdunia, the temperature in Spain is around 37 degrees Celsius when it's just before 7 am the hot weather triggers the burning of large forests in several countries https t co urbzdwqhr0",0.0,1.0,0.0,0.0,neu
3,"Let's call it floods, volcanoes, earthquakes, landslides and even recently, tornadoes have started to occur frequently in this country, when it's dry season, forest fires and dry disasters must be faced with resilience GP2022",0.098,0.902,0.0,-0.5574,neg
4,hundreds of people evacuated from their homes amid forest fires that continue to burn in France https t co pq3bcdnmdy,0.0,1.0,0.0,0.0,neu
5,sitting in portugal the direction of moving after forest fire https t co gnqhkwhrx9,0.167,0.833,0.0,-0.5859,neg
6,valentina rama thanks ma'am gbu even though the weather in the city is cloudy because it's been raining since yesterday afternoon but i think it's raining thanks to seeing the news again there are forest fires in other countries because of the hot weather we are grateful for what God has given until today,0.0,0.797,0.203,0.9091,pos
7,"hi friends, info bmkg kalbar alert potential easy to burn forest and land in the west kalimantan region from 16 to 19 july 2022 karhutla karhutlakalbar infobmkgkalbar weatherkalbar https t co lkxksavj5q",0.0,0.773,0.227,0.802,pos
8,anticipating forest and land fires Babinsa patrolling karhutlah with residents https t co hwtidl7fcb https t co aktnov3jb3,0.0,1.0,0.0,0.0,neu
9,Burning forests is said to be increasingly widespread and difficult to control the state https t co rbrpmy9cwr,0.135,0.865,0.0,-0.6124,neg
10,"Catchmeupid in Indonesia has realized that all areas have started planting trees and burning forests which, although still exist, are lacking, except in Jakarta, even the trees at Monas are turned into furniture.",0.0,1.0,0.0,0.0,neu
11,more than 3 000 members of the bomba with lumps of fire madam Bakar are the same community as the community where awaninews awanipagi https t co maoqr6nq4d,0.088,0.912,0.0,-0.34,neg
12,West Kalimantan weather information today alert for forest and land fires in West Kalimantan - this data is data up to BMKG regarding West Kalimantan's weather information today hooks on forest and land fire alert in West Kalimantan https t co voqdibonwz,0.055,0.845,0.1,0.25,pos
13,"I hope that weekends with people are happy, friends, rosadijamani, continue to grow well for the same without any strings attached and also without leveraging the matter of planting sincere values ​​https t co dx46tnfvqs",0.024,0.587,0.388,0.9444,pos
14,"splash 888 budimandjatmiko jokowi, oil palm farmer 17 million, is there a lot of forest land that has been turned into oil palm land and where is forest wood used for forest fires, maybe this is the culprit",0.0,1.0,0.0,0.0,neu
15,"partners build programs for strong facilities for the parties to prevent and manage forest and land fires, there are strong parties, please change the paradigm of burning forest and land from madam api https t co lcs40s36l9",0.0,0.661,0.339,0.9246,pos
16,oil palm and mining businesses burn forest in France 10 000 people evacuated https t co zb3wyw52kz,0.0,1.0,0.0,0.0,neu
17,Gironde local government level of alert due to forest fires that are extensive up to 8000 hectares Indonesian citizens in the Gironde area remain vigilant & pay attention to general orders for emergency telephone numbers for ambulances 15 police 17 madam burn 18 hotlines to protect Indonesian citizens 33621122109 https t co 6u6ct6u1g0,0.071,0.814,0.115,0.3612,pos
18,burned almost 5 000 hectares of pine trees in the French gironde continued to be extensive not 10 000 people evacuated https t co zwpp7vnia9,0.0,1.0,0.0,0.0,neu
19,ancient mass extinction research on earth caused by massive forest fires https t co 2pav2809vl earth science research burned extinct https t co yminbfz6jy,0.0,1.0,0.0,0.0,neu
20,"shallhar podo sis, it's very hot here, mixed with forest fire, won't let the deingi record reach 47 c",0.123,0.821,0.056,-0.3182,neg
21,burn forest in northern morocco https t co cbyzjmragh,0.0,1.0,0.0,0.0,neu
22,forest fires spread in france 480 people evacuate https t co 38fm0rzcfd,0.0,1.0,0.0,0.0,neu
23,https tco jgdymoippn,0.0,1.0,0.0,0.0,neu
24,"I hope the people who belong to the sun will add more than the old farmers, how to move, which might be the trigger for burning forests and land",0.0,0.903,0.097,0.4404,pos
25,"This activity that took two days 13 14 07 2022 was divided into two locations, namely Bumi Harapan Village and Sukaraja Village, Head of Paku District, which aims to provide MPA capacity levels in controlling forest and land fires.",0.0,1.0,0.0,0.0,neu
26,"klhk then directorate of forest and land fire control, directorate general of climate change control, ppi is the same as mangola agni daops kalimantan xii-paser balai ppikhl kalimantan as strong active mpa in the capital city of the archipelago ikn https t co s0o8niswdy",0.05,0.826,0.124,0.5574,pos
27,"There are many strong indications that forest and land fires in the PT Rambang Agro Jaya concession area deliberately stopped the police from reporting this, the Tempo Tempo Institute collaboration and international media support IMs Korantempo https t co pdgbz6qiwi",0.043,0.82,0.137,0.6249,pos
28,forest fires are getting bigger in france hundreds of people evacuate from homes https t co crw7a7rgvz,0.0,1.0,0.0,0.0,neu
29,the world's largest giant tree sequoia threatens to burn forests again https t co lfgxlufgvf,0.167,0.833,0.0,-0.3818,neg
30,french command down not 1 000 madam duty over forest burn https t co o3bgadsk2c,0.0,1.0,0.0,0.0,neu
31,day three burnt the scorched forest 3850 hectares of land in France the area of ​​​​the madam has not been able to madam https t co nvv5iyrli6,0.0,1.0,0.0,0.0,neu
32,atus again prey moving after forest fires in fmtnews https t co n9bjhbocbw,0.0,1.0,0.0,0.0,neu
33,hundreds of people evacuated from homes during forest fires landa france https t co cjvhshicnv burns portugal heatwave ridesnewsco,0.0,1.0,0.0,0.0,neu
34,forest fires in southwestern france spread hundreds of residents evacuate from their homes https t co sbty7xkprw heatwave extreme french forest fires https t co t0bqhh8be2,0.0,1.0,0.0,0.0,neu
35,"Burning forests in France, hundreds of people evacuate https t co v7lcmsnsot",0.0,1.0,0.0,0.0,neu
36,bennett kazuha forest fire https t co hkgcxt2rm3,0.286,0.714,0.0,-0.34,neg
37,how come the account in the forest is burning,0.0,1.0,0.0,0.0,neu
38,"The heat wave that hit Europe was due to forest fires in France and Portugal. The hot weather was the reason it was difficult to extinguish the fire so that this pack was international, there was a compass https t co 3rfjwizyz0",0.114,0.886,0.0,-0.5994,neg
39,"bomba wrestling escorting forest fires, hopefully it's easy for everyone to take care of my brother, bomba music https t co ftfv4xnboj videosinar burn wawahaba https t co swhmom6igc",0.0,0.732,0.268,0.9761,pos
40,"Reporters of the Karhutla Task Force ask for active efforts to prevent forest and land fires. Reporters for RRI, however, listen fully at 88 8FM Rrinet & RRI Playgo -amd",0.0,0.877,0.123,0.4215,pos
41,"but in turn, the voices of young people are taken over, even though young people have new dreams, big dreams where the poverty rate goes down, children can get access to education in a green environment, no more deforestation and forest fires for a better life https t co 9uuajdktux",0.12,0.698,0.182,0.9796,pos
42,https t co euhh1u6glm east kuta resort police team Thursday 14 7 2022 held a coordination meeting with hook parties to anticipate forest fires and land and forest fires in the district of east kuta poldakaltim kaltim kamihumaspolri https t co 8bouosxkvc,0.0,0.932,0.068,0.4019,pos
43,Lahat Police Public Relations - on Thursday 14 July 2022 at 09 00 wib active zoom meeting in the framework of the pre-ops training program with the aim of burning forest and land in the Lahat Police Hall https t co enyg17bnq0,0.0,0.935,0.065,0.4019,pos
44,The fire that started last Tuesday has destroyed almost 4 000 hectares of the forest area of ​​the cloudinews cloudipagi https t co rzitptxqqx,0.219,0.781,0.0,-0.6808,neg
45,"Thousands of madam Bakar fight for the madam of the blazing fire, the number of areas in Portugal and for the West of Spain on Wednesday 13 7 https t co szbh3lori8",0.15,0.811,0.039,-0.9022,neg
46,bhdunia incident threatens to sit and travel industry https t co xfdmgx4eti,0.206,0.794,0.0,-0.6369,neg
47,"si auo frizth catchmeupid yoi it's dry, gin should be grateful, imagine if it's dry for 3 months without rain, the mountains burn the news on ditv about the difficulty of clean water, the reservoir is dry and we in Sumatra inhale the smoke from the forest fires every day",0.044,0.85,0.105,0.5106,pos
48,the auo catchmeupid gpp it's still a lot of dry rain than no rain at all the effect of forest fires every day breathing smoke greetings from sumatra,0.073,0.833,0.093,0.1531,pos
49,"hi friends, info bmkg kalbar be aware of the potential for easy burning of forest and land in the west kalimantan region from 15 to 17 july 2022 some areas of kalbar karhutla karhutlakalbar infobmkgkalbar weatherkalbar https t co adpewkz6fs",0.0,0.86,0.14,0.7184,pos
50,"Europe lands on extreme heat waves, burns, breaks out forests https t co rym9uh99fm",0.0,1.0,0.0,0.0,neu
51,collaborative efforts to prevent forest and land fires https t co 4pmhx4ro0s,0.0,0.901,0.099,0.0258,neu
52,"forest fires in West Sumatra, West Sumatra, the rate is drastic compared to last year with the same period, so the rate is around 167 percent - regional https t co zwgq7znvzc",0.0,1.0,0.0,0.0,neu
53,Day 3 of forest fires in this remote French Gironde area 5300 hectares of land due to heat and dryness https t co zfvejy8ihh https t co pfsf9lp1lv,0.0,1.0,0.0,0.0,neu
54,"partners build programs for strong facilities for the parties to prevent and manage forest and land fires, there are strong parties, please change the paradigm of burning forest and land from madam api https t co wsyj9xumq5",0.0,0.661,0.339,0.9794,pos
55,The Karhutla Task Force has called the business party to make the same commitment https t co epmij0uvo2,0.0,0.739,0.261,0.8625,pos
56,"Be alert, so forest and land fires must go to the West Sumatra Province, West Sumatra, which is on standby because of the detection of the number of hotspots reaching 484 points by June 2022, burning Sumatran forest fires https t co fvpqm1cazs",0.0,0.88,0.12,0.5106,pos
57,"two fires burned almost 1 700 hectares of pine trees in the French Gironde, Madam's efforts to burn the forest continue to sell https t co pnmfjc1eaf",0.0,1.0,0.0,0.0,neu
58,https tco yt2biepc7w,0.0,1.0,0.0,0.0,neu
59,heat wave triggers forest fires in many regions of europe cabartvone https t co klape4g7ns,0.0,1.0,0.0,0.0,neu
60,Massive fires hit forests in central Portugal and western Spain when the two countries were hit by Spain's Portugal heatwave https t co ml5khyskar,0.0,1.0,0.0,0.0,neu
61,Burn the forests of landa portugal and spain in the middle of a heatwave https t co mwpev7o18g,0.0,1.0,0.0,0.0,neu
62,"Burning forest and land that was finished in several areas in Sumatra and Kalimantan, the value was still under control in the period 1 January-11 July, 258 hotspots were observed in the number of science and technology areas, adadikompas pradiptapm https t co epwd3ob8tw",0.0,0.915,0.085,0.4019,pos
63,heatwave due to forest fires in europe https t co yx0wyqtwne sariagri tani,0.0,1.0,0.0,0.0,neu
64,https t co 0y4nyngicn https t co 0y4nyngicn,0.0,1.0,0.0,0.0,neu
65,"I'm sad every time I read the case of forest fires, it's not only about the trees inside but also the animals that are fighting for their lives, thanks for reviewing Ms. Lendyreny https t co w0axwbillw",0.157,0.752,0.09,-0.8201,neg
66,3 worst forest fires in history one landa 55 million hectares of land https t co dcjiydjjmn,0.227,0.773,0.0,-0.6249,neg
67,heatwave triggers forest fires in europe https t co g51ukmbmbz,0.0,1.0,0.0,0.0,neu
68,bulletinfmhighlights past heat wave sparks forest fires in Europe crises of violent eating gun gangs due to 89 deaths in Haiti New zealand collects face cover covid-19 test kit for free source bharianmy bulletinfm https t co prdnpc7eew,0.144,0.78,0.076,-0.4588,neg
69,Babinsa Koramil 04 Rupat is led by Serka Julia Nursanto and 3 MPA members like a patrol to prevent forest and land fires from burning in the village of Suakarjo Mesim Kec Rupat Bengkal Regency Thursday 14 7 2022 https t co tf7cxsdnyg,0.0,0.911,0.089,0.3818,pos
70,scorching heat wave triggers forest fires in Europe https t co dakhznm6cs,0.0,1.0,0.0,0.0,neu
71,Burning forest due to heat wave lands Portugal https t co 4r0of78mhj,0.0,1.0,0.0,0.0,neu
72,one task of burning forest and land in Jambi asks all plantation businesses in the area to take an active role in preventing forest and land fires from burning https t co tlvdoy5xv9,0.033,0.888,0.08,0.3818,pos
73,"dinorauw shkn, is there a letter for the national fuel forest",0.0,1.0,0.0,0.0,neu
74,heatwave triggers forest fires in europe https t co yaxj5xyoph,0.0,1.0,0.0,0.0,neu
75,West Kalimantan BPBD continues its efforts so that at the title of ministerial meeting from neighboring countries at Bimp-Eaga in November 2022 there will be no forest fires in West Kalimantan publisherstory https t co kwge1scmjo,0.061,0.939,0.0,-0.296,neg
76,"Compared to last year with the same period, the forest fire rate in West Sumatra is around 167 percent https t co g4v6n2a2dk",0.103,0.897,0.0,-0.34,neg
77,heatwave triggers forest fires in portugal and spain - between news bengkulu https t co wevnktofqa,0.0,1.0,0.0,0.0,neu
78,heat wave triggers forest fires in several european countries https t co zf8qv1u0kr https t co 6pimgcdnwf,0.0,1.0,0.0,0.0,neu
79,thousand tasks madam burn on wednesday 13 7 fight against more than 20 fires that ravaged in portugal and spain west europe burnt forest fires updatebali https t co cl1ufbzueh https t co 1usro4ug9t,0.08,0.92,0.0,-0.3818,neg
80,"Burning forest and land that has been completed in several areas in Sumatra and Kalimantan, the value is still under control in the period from January 1 to July 11, 258 hotspots have been monitored in the number of areas for the humanities, adadikompas https t co 0rsitqg8od",0.0,0.922,0.078,0.4019,pos
81,"Burning forest and land that was finished in several areas in Sumatra and Kalimantan, the value was still under control in the period 1 January-11 July, 258 hotspots were observed in the number of science and technology areas, adadikompas https t co 4cyvyb5xs1",0.0,0.913,0.087,0.4019,pos
82,there needs to be education to the community around the forest to get involved in preventing forest fires https t co kuuxfrocr2,0.052,0.948,0.0,-0.0258,neg
83,"as an effort to anticipate forest fires, the forest is ready https t co giimpvku6h",0.0,0.839,0.161,0.3612,pos
84,Forest fires in Batu City are mostly triggered by human activities https t co yikjyhmo6o,0.0,1.0,0.0,0.0,neu
85,Heat waves call for temperatures to soar above 45 degrees Celsius in some parts of Europe https t co cxbvnmns9x,0.0,1.0,0.0,0.0,neu
86,heat wave triggers great forest fire in europe https t co bdbdsjsw38,0.155,0.581,0.265,0.4019,pos
87,"if you burn the forest, both small and large, the real impact is very loss for many parties, therefore maybe we should prevent it from burning, what can we do, read this post by mbk lendyreny, let's bwbplus https t co gaku1bkhll",0.058,0.856,0.086,0.0534,neu
88,"Morning buddy, there is new information, there is new information regarding hotspots on July 13, 2022, monitor 4 hotspots indicating forest and land fires in the East Nusa Tenggara region.",0.0,1.0,0.0,0.0,neu
89,heat wave reaches 45 degrees thousand madam Bakar fights over more than 20 fires that ravaged Portugal and western spain https t co jvqyyjrzv5,0.108,0.843,0.048,-0.6124,neg
90,two fires have burned almost 1 700 hectares of pine trees in gironde coilnews https t co rmkjizgfbb,0.0,1.0,0.0,0.0,neu
91,https t co exhdmyfmk9 - burn France's vast forests of thousands of residents evacuate https t co vf819jnjkb,0.0,1.0,0.0,0.0,neu
92,"hi friend, info bmkg kalbar alert potential easy to burn forest and land in the west kalimantan area on 14 to 20 july 2022 some areas of kalbar karhutla karhutlakalbar infobmkgkalbar weatherkalbar https t co qvlrr7pssn",0.0,0.794,0.206,0.8074,pos
93,burn landa forest more than 1800 hectares of land in france work still being done madam https t co btdcwna4wo,0.0,1.0,0.0,0.0,neu
94,"awesome, really hot to burn the forest mstar220714 https t co ntkned0phn",0.0,0.709,0.291,0.6249,pos
95,"ekokuntadhi, there is an earthquake, flash flood, erupting mountain forest, Mr. Eko Kunthadi, politics, Indonesian religious employees, continue to be vigilant, Jakarta, West Java, Banten, the position of the background formula e is not different, it's not important, read the meaning of eco https t co dv68krivfn",0.034,0.929,0.037,0.0279,neu
96,5 directions to build the island of Borneo 1 hold Kalimantan function like the lungs of the world 2 develop to prevent natural disasters from flooding and forest fires 3 levels of conservation and rehabilitation das suharso m Jiwamudaindo Performancesoeharsomonoarfa https t co leojwhzk6l,0.082,0.778,0.14,0.8176,pos
97,5 directions to build the island of Kalimantan 1 hold Kalimantan function like the lungs of the world 2 develop to prevent natural disasters from flooding and forest fires 3 levels of conservation and rehabilitation das suharso m Jiwamudaindo Performancesoeharsomonoarfa https t co vngmasatcz,0.082,0.778,0.14,0.8176,pos
98,"5 directions to build the island of Kalimantan 1 hold Kalimantan like the lungs of the world 2 develop to prevent natural disasters from flooding and forest fires 3 levels of conservation and rehabilitation of watersheds for critical lands, protected forest & production forest, performancesoeharsomonoarfa https t co raoame1e8g",0.114,0.713,0.173,0.9432,pos
99,"5 directions to build the island of Kalimantan - hold on to the function of Kalimantan as the lungs of the world - develop to prevent natural disasters from flooding & forest fires - level of conservation & rehabilitation of critical land watersheds, protected forest & production forest performancesoeharsomonoarfa https t co duiflt17yy",0.113,0.763,0.124,-0.7184,neg
100,Burn the forests of landa portugal and spain in the middle of a heatwave https t co gvnxrszrcd,0.0,1.0,0.0,0.0,neu
101,"Turkey's president condemns forest fires, President Recep Tayyip Erdogan is strongly criticized for being responsive and not ready for large-scale forest fires https t co bvndvzryte",0.243,0.615,0.141,-0.5122,neg
102,EU recalls forest fires EU official has resigned last week for threatening forest fires due to climate change https t co 2bbl8p2on3,0.221,0.779,0.0,-0.6597,neg
103,prime minister of portugal burns forest prime minister of portugal ant nio costa cancels trip abroad for hands there is an emergency on wednesday 13 7 2022 https t co 3zd4ttklor,0.143,0.857,0.0,-0.5423,neg
104,European Union forest fires series of charred forest fires for EU countries https t co cdv3hn7jtm,0.0,1.0,0.0,0.0,neu
105,burn forests iran https t co hcigiybz4c,0.0,1.0,0.0,0.0,neu
106,5 directions to build the island of Kalimantan 1 hold Kalimantan function like the lungs of the world 2 develop to prevent natural disasters from flooding and forest fires 3 levels of conservation and rehabilitation das suharso m Jiwamudaindo Performancesoeharsomonoarfa https t co hsnlob1ang,0.082,0.778,0.14,0.7906,pos
107,five directions to build the island of Kalimantan 1 hold Kalimantan function like the lungs of the world 2 develop to prevent natural disasters from flooding and forest fires suharso m Jiwamudaindo Performancesoeharsomonoarfa https t co 7w6tj96t0u,0.093,0.749,0.158,0.8591,pos
108,"Anticipation of forest and land fires, Deputy Governor of West Sumatra leads the task force for the West Sumatra Dalkarhutla Task Force https t co vqxahfqzqr",0.0,0.945,0.055,0.1027,pos
109,forest fires continue to hit the iberian peninsula https t co bjhpvnrelv,0.0,1.0,0.0,0.0,neu
110,large amounts of fire hit forests in central portugal and western spain https t co l2bqqzpa9n,0.146,0.854,0.0,-0.34,neg
111,484 hotspots for detection of forest and land fire alerts in West Sumatra https t co hnbaiogtf0,0.138,0.862,0.0,-0.34,neg
112,"kdrama menfess park dokyung red flag it's like a forest fire but I'm willing to burn it too, it's okay, aka those eyes, I'm sorry",0.116,0.734,0.15,0.2382,pos
113,Burning forest devoured 1 700 hectares of land in France https t co ca3l1iqndn,0.0,1.0,0.0,0.0,neu
114,"heat waves from Europe, Spain and Portugal also hit the dry season and burned forests when the hot and hot weather had spread to France and the United Kingdom https t co mdmlswkw0b https t co ri1j8tmkfk",0.0,0.924,0.076,0.9186,pos
115,forest fires in spain are difficult to extinguish n if the sultan without a palace is involved and nature is allowed in the fire madam then we will raise our hands to ask for the grace of Allah swt to protect the heavens and the earth n we ask for the forests of kalimantan sulawesi sumatra papua standby https t co tag70wmhy2,0.074,0.803,0.123,0.4939,pos
